,term,weight
313,destiny,0.00014122299110295154
314,destroyed,0.00014122299110295154
315,detailed,0.00018829732147060207
316,detective,0.00018829732147060207
317,develop,0.00014122299110295154
318,developed,0.00014122299110295154
319,development,0.00018829732147060207
320,devil,0.0002353716518382526
321,dharma,0.0002353716518382526
322,dialogue,0.0003765946429412042
323,die,0.00032952031257355366
324,difference,0.0004236689733088547
325,different,0.001506378571764817
326,difficult,0.0006119662947794567
327,dipping,0.00014122299110295154
328,directed,0.00014101949786148266
329,directly,0.00028244598220590313
330,director,0.0014122299110295158
331,disappointed,0.00014122299110295154
332,discovered,0.00014122299110295154
333,discovery,0.00014122299110295154
334,disdain,0.00014122299110295154
335,dish,0.0003765946429412042
336,distance,0.00028244598220590313
337,distorted,0.00014122299110295154
338,doe,0.0014593042413971664
339,dog,0.00018829732147060207
340,domestic,0.00014122299110295154
341,don,0.00018829732147060207
342,dong,0.00014122299110295154
343,door,0.0005178176340441558
344,dragon,0.00028244598220590313
345,drama,0.0015770448222385545
346,dream,0.0007061149555147577
347,drink,0.00028244598220590313
348,drop,0.00014122299110295154
349,dubbing,0.00014122299110295154
350,eager,0.00028244598220590313
351,ear,0.00018829732147060207
352,early,0.0004236689733088547
353,earn,0.00014122299110295154
354,earth,0.00032952031257355366
355,easy,0.0005178176340441558
356,eat,0.0020241962058089734
357,eaten,0.00018829732147060207
358,eating,0.0002353716518382526
359,education,0.0012239325895589135
360,eel,0.00014122299110295154
361,effect,0.0006590406251471072
362,effie,0.00014122299110295154
363,effort,0.00014122299110295154
364,egg,0.00047074330367650525
365,elegant,0.00014122299110295154
366,element,0.0003765946429412042
367,embarrassment,0.00014122299110295154
368,emotion,0.0004236689733088547
369,emotional,0.00047074330367650525
370,encounter,0.00018829732147060207
371,end,0.0017663843149907973
372,ended,0.00018829732147060207
373,ending,0.00032952031257355366
374,enemy,0.00018829732147060207
375,energy,0.00014122299110295154
376,england,0.00018829732147060207
377,enjoy,0.00018829732147060207
378,entered,0.0002353716518382526
379,entertainment,0.00017675238058341978
380,environment,0.0002353716518382526
381,episode,0.0006590406251471072
382,equivalent,0.00014122299110295154
383,era,0.0004236689733088547
384,escape,0.00014122299110295154
385,especially,0.0005178176340441558
386,europe,0.00014122299110295154
387,evening,0.00014122299110295154
388,event,0.00018829732147060207
389,eventually,0.0003765946429412042
390,evil,0.00032952031257355366
391,evolution,0.0006590406251471072
392,exactly,0.00014122299110295154
393,exaggerated,0.00018829732147060207
394,examination,0.00014122299110295154
395,example,0.0007061149555147577
396,excellent,0.00014122299110295154
397,existence,0.00032952031257355366
398,exists,0.00018829732147060207
399,expectation,0.0002353716518382526
400,expedition,0.00014122299110295154
401,expensive,0.00047074330367650525
402,experience,0.00032952031257355366
403,explain,0.00028244598220590313
404,express,0.00018829732147060207
405,expressed,0.00028244598220590313
406,expression,0.00032952031257355366
